Sample,X,Y,Z
706,0.035,-0.012,-0.980
707,0.035,0.039,-1.023
708,0.023,-0.008,-0.938
709,-0.016,0.020,-0.977
710,-0.004,0.031,-1.051
711,0.086,-0.035,-0.984
712,0.078,-0.008,-0.992
713,-0.020,0.004,-1.039
714,0.016,0.023,-0.988
715,0.023,-0.016,-0.984
716,0.047,0.059,-1.031
717,0.066,0.004,-1.008
718,0.020,0.020,-0.902
719,0.043,0.062,-0.980
720,0.031,0.008,-0.969
721,0.004,0.016,-0.840
722,0.023,0.031,-0.938
723,0.027,0.051,-0.965
724,0.004,0.039,-0.875
725,0.008,0.070,-0.898
726,-0.004,0.055,-0.934
727,0.020,0.027,-0.859
728,0.035,0.086,-0.914
729,0.000,0.043,-0.977
730,0.008,-0.008,-0.844
731,0.047,0.039,-0.930
732,0.043,0.070,-1.043
733,0.004,0.031,-0.898
734,0.012,0.023,-0.941
735,0.059,0.047,-1.035
736,0.074,0.023,-0.969
737,0.043,-0.012,-0.996
738,0.000,0.043,-1.000
739,0.023,-0.004,-0.973
740,0.039,-0.012,-0.984
741,0.031,0.051,-0.996
742,0.020,0.023,-0.984
743,0.023,0.023,-0.945
744,0.039,0.062,-0.973
745,0.043,0.047,-0.973
746,0.016,0.039,-0.895
747,0.023,0.031,-0.922
748,0.035,0.051,-0.965
749,0.023,0.023,-0.875
750,-0.008,0.051,-0.867
751,0.020,0.062,-0.969
752,0.070,0.062,-0.891
753,0.062,0.031,-0.918
754,0.031,0.043,-0.938
755,0.000,0.035,-0.875
756,0.000,0.039,-0.922
757,0.078,0.047,-0.992
758,0.043,-0.016,-0.902
759,0.004,0.012,-0.918
760,0.008,0.035,-1.004
761,0.020,0.051,-0.934
762,0.043,-0.008,-1.004
763,0.039,0.016,-0.996
764,0.035,0.023,-0.961
765,0.020,-0.020,-1.012
766,-0.016,0.027,-0.965
767,0.035,-0.008,-0.980
768,0.035,0.012,-0.973
769,0.027,-0.012,-0.977
770,0.047,0.047,-0.961
771,0.020,0.047,-0.934
772,0.027,0.027,-0.961
773,0.086,0.055,-0.969
774,0.031,-0.016,-0.898
775,-0.051,0.023,-0.898
776,0.004,0.035,-0.965
777,0.066,0.004,-0.922
778,0.055,0.012,-0.934
779,0.043,0.008,-0.977
780,0.012,0.047,-0.867
781,-0.023,0.039,-0.945
782,0.031,0.043,-1.004
783,0.043,-0.039,-0.895
784,0.012,-0.020,-0.938
785,0.012,0.035,-1.031
786,0.020,0.012,-0.930
787,0.016,-0.004,-0.953
788,0.031,-0.008,-1.043
789,0.055,0.000,-0.961
790,0.020,0.008,-0.988
791,0.004,0.008,-1.039
792,0.020,-0.066,-0.949
793,0.066,-0.043,-0.941
794,0.031,0.023,-1.023
795,0.016,-0.012,-0.953
796,0.020,0.008,-0.930
797,-0.004,0.027,-0.996
798,0.023,0.008,-0.973
799,0.035,0.016,-0.910
800,0.012,0.039,-0.969
801,0.035,0.012,-0.961
802,0.059,0.004,-0.871
803,-0.004,0.023,-0.910
804,-0.016,0.059,-0.961
805,0.055,-0.008,-0.918
806,0.055,0.023,-0.922
807,0.023,0.039,-0.988
808,0.008,0.004,-0.891
809,0.012,0.055,-0.902
810,0.039,0.035,-1.055
811,0.043,0.008,-0.922
812,0.004,-0.012,-0.883
813,-0.016,0.059,-1.035
814,0.051,0.020,-1.012
815,0.074,0.004,-0.906
816,0.016,-0.016,-1.016
817,-0.008,0.016,-0.965
818,0.031,0.016,-0.918
819,0.047,0.047,-1.035
820,0.039,0.047,-0.988
821,0.023,0.008,-0.883
822,-0.004,0.066,-0.961
823,0.020,0.055,-0.992
824,0.027,-0.004,-0.887
825,0.027,0.051,-0.941
826,0.020,0.031,-0.977
827,0.031,0.051,-0.879
828,0.031,0.027,-0.945
829,0.023,0.055,-0.945
830,0.047,0.016,-0.902
831,0.016,0.043,-0.898
832,-0.016,0.078,-0.953
833,0.035,0.000,-0.949
834,0.059,0.031,-0.887
835,0.043,0.055,-0.988
836,0.020,0.051,-0.957
837,0.000,0.012,-0.887
838,0.035,0.043,-0.977
839,0.055,0.031,-0.996
840,0.027,0.008,-0.922
841,0.016,0.070,-0.977
842,0.008,0.047,-1.023
843,0.047,-0.008,-0.918
844,0.023,0.055,-0.973
845,0.012,0.039,-1.008
846,0.012,0.016,-0.910
847,0.051,0.020,-0.977
848,0.043,0.039,-0.992
849,0.020,0.016,-0.902
850,0.043,0.016,-0.941
851,0.039,0.059,-0.965
852,0.066,0.016,-0.934
853,0.031,0.016,-0.918
854,0.008,0.086,-0.973
855,0.039,0.020,-0.961
856,0.027,0.023,-0.906
857,0.027,0.039,-0.957
858,0.027,0.027,-0.938
859,0.027,0.012,-0.906
860,0.035,0.027,-0.973
861,0.039,0.023,-0.957
862,0.039,-0.004,-0.910
863,0.035,0.035,-0.973
864,0.004,0.062,-1.008
865,0.008,0.016,-0.922
866,0.023,-0.020,-0.957
867,0.031,-0.016,-0.988
868,0.027,0.012,-0.961
869,0.023,-0.004,-0.973
