Sample,X,Y,Z
555,0.324,-0.750,-1.141
556,0.098,-0.531,-0.750
557,-0.199,-0.875,-1.152
558,-0.340,-0.598,-0.953
559,-0.500,-0.309,-0.777
560,-0.062,-0.664,-1.379
561,0.473,-0.902,-0.891
562,0.418,-0.656,-0.727
563,0.273,-0.711,-1.371
564,0.020,-0.797,-0.699
565,-0.312,-0.551,-0.758
566,-0.355,-0.516,-1.629
567,-0.059,-0.473,-0.996
568,0.059,-0.992,-0.801
569,-0.242,-0.535,-0.992
570,-0.086,-0.527,-0.965
571,-0.043,-0.711,-0.723
572,0.191,-0.277,-1.141
573,0.504,-0.629,-1.512
574,0.340,-0.746,-0.645
575,0.027,-0.527,-0.832
576,-0.082,-0.418,-1.184
577,-0.176,-0.539,-0.551
578,-0.031,-0.645,-0.750
579,-0.062,-0.359,-1.148
580,0.055,-0.441,-1.105
581,-0.070,-0.766,-0.965
582,-0.391,-0.480,-0.879
583,-0.402,-0.562,-0.883
584,-0.062,-0.668,-0.719
585,0.504,-0.703,-0.949
586,0.645,-0.797,-1.004
587,0.059,-0.766,-0.668
588,-0.277,-0.520,-0.812
589,-0.305,-0.465,-1.043
590,-0.156,-0.684,-0.914
591,0.355,-0.602,-1.203
592,0.230,-0.852,-1.324
593,-0.324,-0.766,-0.637
594,-0.383,-0.547,-0.875
595,-0.312,-0.336,-1.266
596,0.293,-0.465,-1.148
597,0.957,-0.887,-1.227
598,0.707,-0.738,-1.035
599,-0.113,-0.379,-0.848
600,-0.535,-0.184,-0.902
601,-0.672,-0.371,-0.832
602,-0.230,-0.711,-0.801
603,0.297,-0.766,-0.949
604,0.195,-0.277,-1.211
605,-0.047,-0.070,-1.266
606,-0.348,-0.484,-0.672
607,-0.285,-0.832,-0.219
608,0.195,-0.996,-0.488
609,0.398,-0.477,-0.805
610,0.523,-0.258,-1.301
611,0.043,-0.336,-1.160
612,-0.449,-0.449,-0.816
613,-0.277,-0.758,-0.867
614,0.113,-0.676,-0.820
615,0.195,-0.684,-1.082
616,0.125,-0.465,-1.176
617,-0.113,-0.367,-1.207
618,-0.227,-0.465,-1.281
619,0.031,-0.352,-1.227
620,0.340,-0.285,-1.359
621,0.223,-0.086,-1.191
622,-0.062,0.004,-1.043
623,-0.172,0.082,-1.117
624,-0.367,0.285,-1.164
625,-0.129,0.293,-1.359
626,-0.129,0.293,-1.359
627,0.203,0.270,-1.246
628,0.160,0.219,-0.855
629,0.074,0.086,-0.680
630,-0.082,0.207,-0.488
