Sample,X,Y,Z
642,-0.004,-0.008,-0.961
643,0.016,0.082,-0.953
644,0.043,0.047,-0.891
645,0.020,-0.055,-0.949
646,0.121,0.016,-0.879
647,0.105,0.051,-0.863
648,-0.055,0.051,-1.004
649,-0.016,0.020,-0.953
650,-0.016,0.020,-0.953
651,0.086,0.055,-0.871
652,0.039,0.070,-1.008
653,0.055,0.031,-0.992
654,0.117,0.070,-0.863
655,-0.047,0.031,-0.969
656,-0.066,-0.004,-0.973
657,0.078,0.008,-0.910
658,0.082,-0.008,-0.953
659,0.016,-0.047,-0.945
660,0.074,0.027,-0.887
661,0.027,0.043,-1.016
662,-0.027,-0.012,-0.977
663,0.012,0.023,-0.895
664,0.121,0.113,-1.047
665,0.047,0.020,-1.043
666,0.039,-0.023,-0.871
667,0.055,0.066,-0.973
668,-0.012,0.004,-0.992
669,-0.008,0.012,-0.867
670,0.102,0.008,-0.930
671,0.074,-0.023,-0.961
672,0.016,-0.023,-0.898
673,-0.008,0.016,-0.977
674,0.004,0.094,-0.977
675,-0.008,0.051,-0.941
676,0.062,0.012,-0.953
677,0.125,0.059,-0.969
678,0.020,0.012,-0.973
679,0.008,0.012,-0.949
680,0.066,0.066,-0.918
681,0.016,-0.023,-0.926
682,0.008,-0.035,-0.887
683,0.102,0.031,-0.906
684,0.027,0.008,-1.031
685,-0.062,0.020,-0.945
686,0.000,0.059,-0.918
687,0.051,0.102,-1.031
688,0.039,0.008,-0.992
689,0.094,0.012,-0.934
690,0.062,0.055,-1.008
691,-0.027,-0.008,-0.930
692,0.000,0.027,-0.879
693,0.078,0.027,-0.977
694,0.086,-0.035,-0.941
695,0.074,-0.023,-0.895
696,0.027,0.035,-0.996
697,0.008,0.062,-0.934
698,0.039,0.047,-0.938
699,0.066,0.027,-1.027
700,0.117,0.086,-0.961
701,0.012,-0.035,-0.930
702,-0.008,0.055,-0.996
703,0.055,0.051,-0.930
704,0.066,-0.031,-0.848
705,0.059,-0.004,-0.930
706,0.094,-0.012,-0.934
707,0.020,0.023,-0.934
708,-0.023,0.031,-1.000
709,0.004,0.004,-0.930
710,0.078,0.055,-0.941
711,0.047,0.035,-1.027
712,0.090,0.016,-0.957
713,0.059,0.059,-0.910
714,-0.020,0.016,-0.992
715,0.020,-0.012,-0.922
716,0.133,0.027,-0.902
717,0.086,-0.027,-1.016
718,0.016,-0.020,-0.914
719,0.012,0.047,-0.891
720,0.027,0.094,-1.004
721,0.043,-0.012,-0.945
722,0.043,-0.012,-0.945
723,0.121,0.066,-0.945
724,0.117,0.090,-1.039
725,0.000,0.043,-0.969
726,0.051,0.039,-0.945
727,0.062,0.031,-0.941
728,0.031,-0.016,-0.891
729,0.086,0.004,-0.914
730,0.102,0.012,-0.934
731,0.008,-0.008,-0.953
732,-0.020,0.008,-0.938
733,0.012,0.059,-0.934
734,0.082,0.074,-0.969
735,0.043,0.000,-0.969
736,0.051,0.035,-0.941
737,0.031,0.082,-0.988
738,-0.027,-0.012,-0.953
739,0.070,0.012,-0.914
740,0.137,0.000,-0.953
741,0.039,-0.043,-0.957
742,0.027,0.012,-0.918
743,0.051,0.043,-0.949
744,0.016,0.035,-0.969
745,0.051,0.012,-0.961
746,0.125,0.039,-0.977
747,0.051,0.008,-1.008
748,-0.031,0.039,-0.973
749,0.082,0.074,-0.969
750,0.090,-0.004,-0.949
751,0.051,-0.043,-0.895
752,0.062,0.027,-0.875
753,0.051,0.043,-0.980
754,0.027,-0.023,-0.973
755,0.070,0.004,-0.891
756,0.039,0.031,-0.945
757,0.016,0.070,-0.953
758,-0.012,0.031,-0.930
759,0.059,0.059,-1.004
760,0.043,0.035,-0.984
761,0.008,-0.008,-0.930
762,0.051,0.047,-0.965
763,0.074,0.012,-0.918
764,0.039,-0.012,-0.898
765,0.070,0.016,-0.980
766,0.047,-0.027,-0.934
767,0.039,0.031,-0.930
768,0.055,0.051,-1.004
769,0.047,0.035,-0.961
770,0.066,0.027,-0.977
771,0.020,0.031,-1.000
772,0.035,0.074,-0.969
773,0.059,0.039,-0.945
774,0.008,-0.008,-0.914
775,0.023,0.016,-0.918
776,0.078,0.000,-0.969
777,0.012,0.000,-0.953
778,0.012,0.023,-0.930
779,0.016,0.047,-0.934
780,0.039,0.043,-0.934
781,0.039,0.012,-0.969
782,0.082,0.039,-0.988
783,0.023,0.059,-0.969
784,-0.020,0.031,-0.977
785,0.047,0.031,-0.930
786,0.059,-0.008,-0.883
787,0.055,0.000,-0.961
788,0.035,0.012,-0.949
789,0.000,0.016,-0.914
790,0.004,0.023,-0.973
791,0.047,0.004,-0.957
792,0.082,0.031,-0.961
793,0.074,0.047,-1.023
794,-0.027,0.035,-0.969
795,0.023,0.031,-0.941
796,0.039,0.062,-0.977
797,0.039,-0.043,-0.934
798,0.082,0.008,-0.910
799,0.070,0.039,-0.965
800,-0.016,0.016,-0.988
801,0.039,-0.016,-0.898
802,0.043,0.020,-0.914
803,0.016,0.043,-0.984
804,0.043,0.031,-0.961
805,0.074,0.055,-0.961
806,-0.016,0.047,-1.008
807,0.000,0.023,-0.953
808,0.102,0.047,-0.914
809,0.074,-0.016,-0.953
810,0.016,-0.027,-0.918
811,0.031,0.031,-0.918
812,0.020,0.035,-0.996
813,0.023,0.004,-0.953
814,0.066,0.004,-0.910
815,0.086,0.035,-0.980
816,0.027,0.035,-0.992
817,0.027,0.023,-0.953
818,0.027,0.023,-0.953
819,0.047,0.098,-0.988
820,-0.008,0.023,-0.961
821,0.055,-0.051,-0.938
822,0.094,0.027,-0.938
823,0.039,0.008,-0.957
824,0.016,-0.004,-0.953
825,0.035,0.020,-0.930
826,0.027,0.008,-0.930
827,0.066,0.031,-0.938
828,0.051,0.055,-0.973
829,0.074,0.047,-1.012
830,0.023,0.027,-0.941
831,0.008,0.043,-0.938
832,0.066,0.055,-0.969
833,0.082,-0.008,-0.898
834,0.062,-0.016,-0.910
835,0.039,0.031,-0.996
836,-0.008,0.000,-0.949
837,0.016,0.039,-0.930
838,0.078,0.020,-0.973
839,0.090,0.020,-0.934
840,0.059,0.027,-0.957
841,-0.016,0.074,-0.996
842,0.043,0.078,-0.961
843,0.070,-0.004,-0.945
844,0.094,-0.020,-0.953
845,0.082,-0.016,-0.934
846,0.039,0.020,-0.941
847,0.023,0.043,-0.980
848,0.023,0.008,-0.938
849,0.043,-0.008,-0.895
850,0.078,0.035,-0.953
851,0.035,0.039,-0.996
852,0.059,0.051,-0.969
853,0.008,0.035,-0.957
854,0.000,0.035,-0.965
855,0.105,0.047,-0.949
856,0.098,0.008,-0.926
857,0.016,0.000,-0.957
858,0.012,0.027,-0.934
859,0.031,0.023,-0.945
860,0.035,0.008,-0.977
861,0.086,0.004,-0.918
862,0.059,0.016,-0.926
863,0.027,0.051,-0.992
864,0.000,0.039,-0.973
865,0.059,0.062,-0.957
866,0.008,0.047,-0.977
867,0.051,-0.008,-0.918
868,0.098,0.039,-0.926
869,0.062,-0.012,-0.961
870,-0.004,0.008,-0.941
871,0.016,0.016,-0.938
872,0.043,0.027,-0.938
873,0.062,0.016,-0.953
874,0.062,0.027,-0.969
875,0.062,0.082,-0.988
876,-0.023,0.031,-0.984
877,0.000,0.016,-0.930
878,0.094,0.059,-0.930
879,0.078,-0.012,-0.961
880,0.043,0.004,-0.926
881,0.031,0.047,-0.941
882,-0.008,0.023,-0.973
883,0.000,0.020,-0.934
884,0.082,-0.008,-0.902
885,0.074,0.020,-0.949
886,0.020,0.039,-0.980
887,-0.012,0.039,-0.973
888,0.012,0.078,-0.988
889,0.012,0.008,-0.953
890,0.012,0.008,-0.953
891,0.062,0.000,-0.914
892,0.117,0.051,-0.961
