Sample,X,Y,Z
427,0.867,0.219,-1.176
428,0.570,0.082,-1.266
429,-0.125,-0.121,-0.484
430,0.684,0.121,-1.277
431,0.688,-0.176,-1.273
432,0.480,-0.051,-0.750
433,0.832,0.250,-1.438
434,-0.254,0.148,-1.113
435,0.332,0.098,-0.730
436,1.145,-0.098,-1.191
437,1.309,-0.059,-1.117
438,1.285,-0.363,-0.852
439,0.438,-0.027,-0.500
440,-0.223,0.316,-0.938
441,0.223,0.121,-1.047
442,0.719,0.133,-0.742
443,1.422,0.047,-1.562
444,1.371,-0.324,-0.945
445,0.332,-0.078,-0.129
446,0.578,0.383,-1.090
447,-0.121,0.238,-0.879
448,0.125,-0.020,-0.699
449,1.188,0.074,-1.559
450,0.820,-0.078,-1.098
451,0.340,-0.043,-0.695
452,0.672,0.199,-0.957
453,0.242,0.020,-0.461
454,0.410,0.125,-0.602
455,0.820,0.043,-1.449
456,1.125,0.031,-1.133
457,0.809,-0.152,-1.039
458,0.672,-0.020,-1.379
459,0.516,0.102,-0.641
460,0.461,0.125,-0.578
461,0.402,-0.184,-1.109
462,0.824,0.148,-0.770
463,0.723,-0.141,-1.066
464,0.531,0.176,-1.227
465,1.020,0.156,-1.203
466,0.969,-0.258,-0.945
467,0.180,0.070,-0.652
468,0.594,0.172,-0.957
469,0.449,-0.039,-0.699
470,0.645,-0.047,-0.910
471,0.949,-0.109,-1.262
472,0.949,0.035,-0.891
473,0.523,-0.004,-0.984
474,0.500,0.277,-0.891
475,0.488,0.125,-0.777
476,0.543,-0.062,-0.840
477,0.461,0.082,-1.145
478,0.848,-0.090,-1.227
479,0.648,0.043,-0.840
480,0.324,0.062,-1.066
481,0.559,0.102,-0.965
482,0.520,-0.035,-0.527
483,0.609,-0.043,-0.938
484,0.719,0.031,-1.191
485,0.645,0.145,-0.781
486,0.637,0.031,-0.973
487,0.480,0.000,-1.043
488,0.750,0.121,-0.828
489,0.711,-0.066,-0.957
490,0.738,0.113,-0.969
491,0.910,0.016,-1.059
492,0.773,-0.152,-0.887
493,0.648,-0.020,-0.848
494,0.711,0.086,-1.078
495,0.469,0.035,-0.883
